session_id,subject_id,teacher_id,day_of_week,start_time,end_time,room
CS01,SUB01,T02,Fri,10:00,11:00,R104
CS02,SUB01,T05,Mon,10:00,11:00,R114
CS03,SUB03,T04,Wed,10:00,11:00,R111
CS04,SUB01,T02,Thu,10:00,11:00,R113
CS05,SUB03,T01,Tue,10:00,11:00,R103
CS06,SUB05,T02,Mon,10:00,11:00,R107
CS07,SUB03,T05,Fri,10:00,11:00,R108
CS08,SUB01,T01,Fri,10:00,11:00,R107
CS09,SUB02,T05,Mon,10:00,11:00,R119
CS10,SUB01,T05,Mon,10:00,11:00,R108
CS11,SUB01,T03,Wed,10:00,11:00,R107
CS12,SUB04,T05,Fri,10:00,11:00,R106
CS13,SUB05,T03,Fri,10:00,11:00,R110
CS14,SUB05,T05,Mon,10:00,11:00,R120
CS15,SUB05,T03,Thu,10:00,11:00,R113
CS16,SUB02,T03,Fri,10:00,11:00,R114
CS17,SUB01,T02,Tue,10:00,11:00,R116
CS18,SUB05,T03,Mon,10:00,11:00,R113
CS19,SUB05,T05,Tue,10:00,11:00,R115
CS20,SUB01,T05,Thu,10:00,11:00,R113
CS21,SUB03,T03,Thu,10:00,11:00,R116
CS22,SUB04,T02,Tue,10:00,11:00,R101
CS23,SUB04,T02,Fri,10:00,11:00,R120
CS24,SUB04,T02,Wed,10:00,11:00,R109
CS25,SUB05,T03,Tue,10:00,11:00,R119
CS26,SUB03,T01,Thu,10:00,11:00,R110
CS27,SUB04,T05,Tue,10:00,11:00,R105
CS28,SUB01,T02,Wed,10:00,11:00,R118
CS29,SUB01,T04,Thu,10:00,11:00,R107
CS30,SUB05,T01,Tue,10:00,11:00,R117
