student_id,subject_id,semester,marks_obtained,max_marks
ST001,SUB01,1,70,100
ST001,SUB02,1,90,100
ST001,SUB03,1,45,100
ST001,SUB04,1,91,100
ST001,SUB05,1,64,100
ST002,SUB01,1,60,100
ST002,SUB02,1,50,100
ST002,SUB03,1,90,100
ST002,SUB04,1,70,100
ST002,SUB05,1,49,100
ST003,SUB01,1,72,100
ST003,SUB02,1,78,100
ST003,SUB03,1,85,100
ST003,SUB04,1,84,100
ST003,SUB05,1,71,100
ST004,SUB01,1,59,100
ST004,SUB02,1,85,100
ST004,SUB03,1,66,100
ST004,SUB04,1,54,100
ST004,SUB05,1,50,100
ST005,SUB01,1,41,100
ST005,SUB02,1,45,100
ST005,SUB03,1,64,100
ST005,SUB04,1,80,100
ST005,SUB05,1,61,100
ST006,SUB01,1,72,100
ST006,SUB02,1,60,100
ST006,SUB03,1,83,100
ST006,SUB04,1,72,100
ST006,SUB05,1,71,100
ST007,SUB01,1,71,100
ST007,SUB02,1,45,100
ST007,SUB03,1,77,100
ST007,SUB04,1,49,100
ST007,SUB05,1,58,100
ST008,SUB01,1,94,100
ST008,SUB02,1,79,100
ST008,SUB03,1,44,100
ST008,SUB04,1,89,100
ST008,SUB05,1,59,100
ST009,SUB01,1,52,100
ST009,SUB02,1,41,100
ST009,SUB03,1,57,100
ST009,SUB04,1,42,100
ST009,SUB05,1,89,100
ST010,SUB01,1,88,100
ST010,SUB02,1,50,100
ST010,SUB03,1,66,100
ST010,SUB04,1,65,100
ST010,SUB05,1,56,100
ST011,SUB01,1,81,100
ST011,SUB02,1,57,100
ST011,SUB03,1,67,100
ST011,SUB04,1,52,100
ST011,SUB05,1,50,100
ST012,SUB01,1,87,100
ST012,SUB02,1,41,100
ST012,SUB03,1,68,100
ST012,SUB04,1,47,100
ST012,SUB05,1,44,100
ST013,SUB01,1,92,100
ST013,SUB02,1,53,100
ST013,SUB03,1,79,100
ST013,SUB04,1,54,100
ST013,SUB05,1,96,100
ST014,SUB01,1,48,100
ST014,SUB02,1,72,100
ST014,SUB03,1,74,100
ST014,SUB04,1,55,100
ST014,SUB05,1,99,100
ST015,SUB01,1,94,100
ST015,SUB02,1,99,100
ST015,SUB03,1,71,100
ST015,SUB04,1,46,100
ST015,SUB05,1,43,100
ST016,SUB01,1,68,100
ST016,SUB02,1,72,100
ST016,SUB03,1,44,100
ST016,SUB04,1,94,100
ST016,SUB05,1,76,100
ST017,SUB01,1,71,100
ST017,SUB02,1,41,100
ST017,SUB03,1,51,100
ST017,SUB04,1,74,100
ST017,SUB05,1,89,100
ST018,SUB01,1,76,100
ST018,SUB02,1,85,100
ST018,SUB03,1,55,100
ST018,SUB04,1,96,100
ST018,SUB05,1,71,100
ST019,SUB01,1,61,100
ST019,SUB02,1,98,100
ST019,SUB03,1,94,100
ST019,SUB04,1,68,100
ST019,SUB05,1,48,100
ST020,SUB01,1,96,100
ST020,SUB02,1,50,100
ST020,SUB03,1,74,100
ST020,SUB04,1,97,100
ST020,SUB05,1,98,100
ST021,SUB01,1,60,100
ST021,SUB02,1,76,100
